Plate,Brand,Model,Battery
1757 NZS,Mercedes-Benz,GLA,73
4730 MXH,Peugeot,2008,60
8083 SBP,Audi,Q5,20
5460 MZX,Ford,Fiesta,38
9790 LCH,Toyota,Prius,98
4149 SGR,Volkswagen,Tiguan,67
0134 TKN,Audi,Q7,56
0867 GFF,Mercedes-Benz,GLC,67
1292 SLR,Ford,Explorer,22
2133 MJH,Renault,Megane,38
0778 HCF,Hyundai,i20,91
5741 GRZ,Peugeot,308,46
4211 NKX,Toyota,Corolla,74
1958 KWP,Mercedes-Benz,E-Class,58
1055 DNH,Ford,Explorer,56
3213 TLC,Mercedes-Benz,GLA,27
4775 YJL,Ford,Explorer,67
7629 RKZ,Peugeot,3008,23
8662 CWD,Volkswagen,Passat,65
0807 GNG,Toyota,Corolla,68
0814 PLB,Ford,Fiesta,50
0963 SBD,Hyundai,i20,36
5821 HGY,BMW,M3,58
7167 VNF,Ford,Mustang,27
1692 LCT,Mercedes-Benz,GLA,89
4894 WNS,BMW,i3,75
0565 FSW,Renault,Megane,77
9270 ZHX,Ford,Explorer,91
7383 FNR,Honda,Accord,55
2872 RBS,Peugeot,3008,89
9968 TFT,Mercedes-Benz,E-Class,28
0674 JDZ,Renault,Captur,95
9038 MZR,Peugeot,2008,31
9066 CKH,Volkswagen,Tiguan,75
6079 YTJ,BMW,M3,23
8005 MKD,Mercedes-Benz,GLA,31
5788 WBB,Volkswagen,Golf,87
0018 BCX,Peugeot,308,82
7335 ZHH,Toyota,Corolla,62
0587 VZV,Toyota,Corolla,99
3591 YVP,Hyundai,Santa Fe,70
5647 TVK,Renault,Captur,93
0383 BXY,Honda,CR-V,69
4255 PDX,Hyundai,Santa Fe,52
7436 TRG,Ford,Focus,54
5741 GRW,Volkswagen,Tiguan,58
7213 SNC,Audi,Q7,96
4560 JKC,Renault,Captur,35
9775 JGB,Toyota,Corolla,47
6453 WSJ,BMW,M3,100
6319 YZF,Honda,Accord,22
8702 XVF,Renault,Kadjar,36
7940 LBH,Toyota,Prius,89
4699 WYN,Renault,Kadjar,45
0071 RXG,Volkswagen,Tiguan,69
9919 WHZ,Hyundai,Santa Fe,93
8897 DWW,Volkswagen,Golf,46
0083 CHZ,Mercedes-Benz,GLC,65
1569 ZPC,Toyota,Yaris,66
0904 GCD,Volkswagen,Tiguan,69
6936 WKN,Mercedes-Benz,GLA,28
4301 CLH,Hyundai,i30,36
0614 FTJ,Mercedes-Benz,C-Class,31
4285 PTG,BMW,M3,62
0793 VSP,Audi,A3,46
4015 HSP,Mercedes-Benz,GLC,23
2461 JYR,Renault,Megane,22
7845 THS,Volkswagen,Golf,23
5815 SJM,Mercedes-Benz,GLA,64
6811 LRJ,Volkswagen,Golf,82
5147 WSW,Audi,A3,46
2744 SZV,Ford,Mustang,45
1610 VDV,Renault,Clio,45
9919 TDX,Audi,A3,59
4176 VKX,Honda,Accord,92
2644 RTZ,Audi,A3,66
2226 RRX,Volkswagen,Tiguan,88
4029 YYW,Hyundai,i20,80
1624 YNY,Mercedes-Benz,GLA,67
2949 ZKP,BMW,X3,91
5986 MCH,Renault,Clio,51
2754 YTD,Volkswagen,Polo,65
0651 PMK,Toyota,RAV4,70
6673 FLP,Ford,Explorer,46
7470 DLD,Mercedes-Benz,GLA,28
9588 XLG,Mercedes-Benz,GLC,88
7404 HDV,Renault,Clio,88
9619 CRF,Toyota,RAV4,43
8563 HLH,Renault,Megane,96
1296 JGV,Mercedes-Benz,E-Class,49
3536 RWL,Renault,Clio,78
8900 ZTG,Renault,Kadjar,70
9628 JHX,Hyundai,Tucson,96
5794 HLP,Hyundai,Tucson,76
5397 DYT,Peugeot,2008,57
0780 XHK,Toyota,RAV4,54
4496 MVK,Peugeot,208,95
5021 GLX,Honda,HR-V,77
6880 HGW,Renault,Captur,45
4338 GTB,Audi,A3,95
0286 DCG,Toyota,Corolla,78
6376 ZTB,Toyota,RAV4,23
0531 RRG,Mercedes-Benz,GLA,56
2831 NJB,Mercedes-Benz,GLC,55
6122 NBB,Peugeot,308,25
2677 KPF,Mercedes-Benz,E-Class,68
6072 RWH,Ford,Explorer,56
9776 XYC,Toyota,Corolla,69
8461 JYN,Toyota,Yaris,79
9521 DHN,Mercedes-Benz,GLA,23
8102 NMB,BMW,i3,91
1959 YLF,Renault,Captur,46
6612 VYH,Ford,Explorer,50
1990 PCM,Ford,Fiesta,61
0276 WYX,Hyundai,Tucson,81
2952 JKV,BMW,i3,51
9713 WJB,Mercedes-Benz,GLC,84
5296 KLY,Audi,Q7,84
4590 FTV,Honda,HR-V,51
2912 MKF,Peugeot,208,58
4144 NPJ,Honda,HR-V,41
1557 KVN,Volkswagen,Passat,71
4662 BSJ,Peugeot,2008,82
6374 TXR,Honda,CR-V,33
6204 KWC,Renault,Kadjar,97
6352 MKD,Ford,Explorer,84
6283 DLF,Mercedes-Benz,E-Class,70
1342 YGR,Mercedes-Benz,C-Class,28
2188 HXF,Mercedes-Benz,E-Class,93
6036 MJJ,Toyota,RAV4,54
1669 VGV,Mercedes-Benz,GLA,74
4483 CLB,Renault,Clio,21
6586 RSZ,Ford,Focus,68
3206 WBT,Honda,CR-V,26
8461 BPX,Audi,A4,33
9403 NMD,Mercedes-Benz,C-Class,100
5708 HHJ,Hyundai,Santa Fe,83
6521 KVH,BMW,i3,36
6968 HZJ,BMW,X3,54
9636 YTK,Hyundai,Tucson,28
6847 THK,Renault,Captur,93
3466 PGF,Audi,Q5,60
7026 FCS,Renault,Clio,57
0805 JGF,Peugeot,3008,36
4155 HZY,Peugeot,2008,39
1810 SPL,Toyota,Yaris,68
0630 ZMJ,Audi,Q5,78
6136 TCR,Peugeot,308,71
5408 CHL,BMW,X3,80
3877 PCB,Ford,Mustang,26
4010 TGD,Renault,Kadjar,81
9385 GRG,Honda,HR-V,98
6330 RCZ,Audi,Q7,65
4700 LRG,Audi,Q7,45
3337 FPG,BMW,X3,67
4234 LZH,Peugeot,2008,61
3236 XKC,Mercedes-Benz,GLA,99
1721 MMG,Ford,Fiesta,42
3720 ZWS,Renault,Megane,47
8506 XPV,Renault,Kadjar,31
3435 DNP,Ford,Mustang,47
6644 CGF,Mercedes-Benz,GLA,90
7271 BBX,Toyota,Yaris,63
4857 CCT,Volkswagen,Golf,81
5345 TWC,Renault,Captur,70
1469 GJM,Audi,A4,93
8213 SNC,Renault,Megane,51
3714 HXN,BMW,i3,97
7738 PPV,Ford,Mustang,40
0928 CHH,Ford,Explorer,97
8560 BFW,Mercedes-Benz,GLA,87
9419 SXK,Renault,Clio,87
0768 FLS,Toyota,Yaris,81
4743 MDN,Honda,CR-V,80
5741 NMZ,Ford,Focus,37
2881 NVZ,Peugeot,3008,79
1304 CBF,Audi,A3,29
9419 TFJ,Hyundai,Tucson,83
7483 DBG,Volkswagen,Tiguan,78
6508 XDP,Ford,Mustang,54
0180 PWF,Mercedes-Benz,GLC,26
7031 PLN,Mercedes-Benz,E-Class,46
3112 GJZ,BMW,X5,77
0445 HRV,Mercedes-Benz,C-Class,58
4529 WHD,Ford,Explorer,56
2394 RHK,Renault,Captur,97
8660 VFV,BMW,X3,46
4798 KDT,Renault,Megane,87
7765 WSP,Toyota,RAV4,22
8545 XVB,Ford,Focus,83
0314 WLV,BMW,i3,87
1843 BHP,Honda,Accord,79
3885 MBN,BMW,M3,65
4779 DPN,Ford,Fiesta,96
1256 FTW,BMW,i3,45
4186 VMB,Toyota,Yaris,30
1845 XGB,Renault,Megane,31
1378 LGX,Renault,Megane,41
3158 GZZ,Toyota,Yaris,77
8023 FFB,Volkswagen,Polo,70
3437 GTT,Ford,Focus,24
9557 LNM,Renault,Clio,57
4289 YBJ,Mercedes-Benz,C-Class,62
2209 RTC,BMW,i3,44
8030 JSR,Hyundai,Santa Fe,96
8450 DSJ,Hyundai,i30,68
3383 TBM,Peugeot,2008,26
2819 MPP,Toyota,Corolla,56
